TitleText: ZnS_Ag               Beam (0.75, 0)            Rfac10=0.1853
 "IV exp
   45.0000000       5.47000021E-03
   50.0000000       4.07999987E-03
   55.0000000       7.10000005E-03
   60.0000000       1.05400002E-02
   65.0000000       1.17499996E-02
   70.0000000       1.09099997E-02
   75.0000000       7.86000025E-03
   80.0000000       5.12999995E-03
   85.0000000       5.32000000E-03
   90.0000000       6.16999995E-03
   95.0000000       5.71999978E-03
   100.000000       5.11999987E-03
   105.000000       5.33000007E-03
   110.000000       5.05999988E-03
   115.000000       4.16000001E-03
   120.000000       3.47000011E-03
   125.000000       3.81999998E-03
   130.000000       4.02999995E-03
   135.000000       4.04000003E-03
   140.000000       3.98000004E-03
   145.000000       3.40999989E-03
   150.000000       2.46999995E-03
   155.000000       1.68999995E-03
   160.000000       1.23000005E-03
   165.000000       1.13999995E-03
   170.000000       1.27999997E-03
   175.000000       1.59000000E-03

 "IV theory
   45.0000000       2.87570083E-03
   50.0000000       1.93145766E-03
   55.0000000       5.75074367E-03
   60.0000000       1.49695324E-02
   65.0000000       1.82552673E-02
   70.0000000       1.94831379E-02
   75.0000000       1.47805260E-02
   80.0000000       8.16113967E-03
   85.0000000       9.94771440E-03
   90.0000000       1.13846473E-02
   95.0000000       1.02124345E-02
   100.000000       1.18302647E-02
   105.000000       1.11537669E-02
   110.000000       6.06298912E-03
   115.000000       2.95175100E-03
   120.000000       2.16558296E-03
   125.000000       1.80737698E-03
   130.000000       1.72222138E-03
   135.000000       1.55384687E-03
   140.000000       1.43433758E-03
   145.000000       8.48553958E-04
   150.000000       3.12182092E-04
   155.000000       1.57526709E-04
   160.000000       8.00261696E-05
   165.000000       1.03852690E-04
   170.000000       8.71905431E-05
   175.000000       3.11259530E-04

